Nombre,Comestibilidad,Caracteristicas
Agaricus xanthodermus,venenosa,"Champiñón de olor a fenol. Sombrero blanco 8-15 cm que amarillea al corte en la base del pie. Causa trastornos gastrointestinales. Confundible con Agaricus campestris y A. bisporus. Diferenciable por el olor químico desagradable."
Amanita amerirubescens,comestible,"Amanita americana similar a A. rubescens. Sombrero grisáceo-parduzco con verrugas grisáceas, 6-15 cm. Carne enrojece al corte. Comestible bien cocida; tóxica en crudo. Habita bajo frondosas y coníferas norteamericanas."
Amanita augusta,comestible,"Especie norteamericana de gran tamaño, sombrero amarillo-dorado con verrugas blanquecinas, 10-25 cm. Volva bien desarrollada. Comestible apreciada en el oeste de Norteamérica. Requiere cocción completa."
Amanita brunnescens,no comestible,"Amanita parda norteamericana. Sombrero marrón oscuro, 5-12 cm, con volva partida en lóbulos en la base. Sospechosa de toxicidad. No recomendada para consumo. Habita bajo frondosas del este de Norteamérica."
Amanita calyptroderma,comestible,"Cocora o coccora. Sombrero anaranjado-amarillo brillante, 10-20 cm, con volva blanca voluminosa. Muy apreciada en California. Puede confundirse con Amanita phalloides en estado joven. Solo para expertos."
Amanita citrina,no comestible,"Sombrero limón-verdoso pálido, 5-10 cm, con verrugas blancas aplanadas. Olor a patata cruda. No tóxica pero no comestible por su mal sabor. Contiene bufotenina. Confundible con A. phalloides."
Amanita flavoconia,no comestible,"Sombrero amarillo-anaranjado con verrugas amarillas, 3-8 cm. Pie con anillo y volva frágil amarillenta. Posiblemente tóxica, no recomendada. Común en bosques mixtos del este de Norteamérica."
Amanita muscaria,venenosa,"Matamoscas. Sombrero rojo brillante con verrugas blancas, 8-20 cm. Contiene muscimol e ibotánico (psicoactivos y tóxicos). Causa síndrome panterínico. Icónica culturalmente. NUNCA consumir."
Amanita pantherina,venenosa,"Falsa oronja. Sombrero pardo con verrugas blancas, 6-12 cm. Contiene muscimol e ibotánico en mayor concentración que A. muscaria. Síndrome panterínico grave. Confundible con A. rubescens. MUY PELIGROSA."
Amanita persicina,no comestible,"Amanita rosado-melocotón, sombrero 5-10 cm. Especie norteamericana poco estudiada. Toxicidad no completamente determinada. No recomendada para consumo por precaución. Habita en bosques del sureste de EE.UU."
Amanita phalloides,venenosa,"Oronja verde o cicuta verde. Sombrero verdoso-amarillento, 6-15 cm. Responsable del 90% de las muertes por intoxicación fúngica mundial. Contiene amatoxinas y falotoxinas. EXTREMADAMENTE PELIGROSA. Sin antídoto efectivo."
Amanita rubescens,comestible,"Amanita vinosa o granulosa. Sombrero grisáceo-parduzco, 6-15 cm, carne enrojece al corte y al roce. Comestible solo bien cocida (tóxica en crudo). Confundible con la peligrosa A. pantherina."
Amanita velosa,comestible,"Especie californiana, sombrero blanco a crema 6-14 cm, volva grande y lobulada, sin anillo. Comestible apreciada localmente. Riesgo de confusión con Amanita phalloides en estado joven. Solo para expertos identificados."
Apioperdon pyriforme,comestible,"Bejín en forma de pera (antes Lycoperdon pyriforme). Crece en densas agrupaciones sobre madera muerta, 2-5 cm. Comestible en estado joven cuando la gleba es blanca y firme. Sabor suave. Muy común."
Armillaria borealis,comestible,"Seta de miel boreal. Sombrero amarillo-miel con escamas marrón, 4-10 cm. Crece en grupos en la base de árboles. Comestible bien cocida; causa molestias gastrointestinales en crudo. Parásito y saprófito."
Armillaria mellea,comestible,"Seta de miel común. Sombrero miel con escamas oscuras, 5-15 cm. Crece en grandes grupos sobre madera. Comestible bien cocida. Uno de los organismos vivos más grandes conocidos (colonia en Oregon >8 km²). Parásito forestal."
Armillaria tabescens,comestible,"Seta de miel sin anillo. Similar a A. mellea pero carece de anillo en el pie. Sombrero 4-10 cm, miel-marrón. Comestible bien cocida. Crece en la base de frondosas, especialmente robles. Este y sur de EE.UU."
Artomyces pyxidatus,comestible,"Coral de puntas en copa. Hongo coraliforme blanco-amarillento con ramificaciones terminadas en coronas de 4-6 puntas, 5-12 cm altura. Comestible joven, sabor picante que desaparece con la cocción. Sobre madera."
Bjerkandera adusta,no comestible,"Políporo gris-ahumado. Fructificaciones en repisa, poros grises muy pequeños, superficie superior marrón-grisácea. Saprófito sobre madera de frondosas. No comestible por textura coriácea. Sin toxicidad conocida."
Bolbitius titubans,no comestible,"Sombrero amarillo brillante viscoso, 2-5 cm, que se expande y palidece con la edad. Láminas amarillo-oxidadas. Efímera, dura pocas horas. Crece sobre estiércol y suelos ricos. No comestible por tamaño y consistencia."
Boletus edulis,comestible,"Porcini o cep. Sombrero castaño liso, 8-25 cm. Pie robusto con retículo blanquecino. Tubos blancos que amarillean. Excelente comestible, aroma intenso y sabor inigualable. Simbionte de coníferas y frondosas. Muy apreciado en gastronomía."
Boletus pallidus,comestible,"Boleto pálido. Sombrero beige-blanquecino, 6-14 cm. Tubos y poros blancos que no azulean. Pie pálido con retículo fino. Comestible de calidad moderada. Habita bajo robles y frondosas. Este de Norteamérica."
Boletus reticulatus,comestible,"Boleto reticulado o cep de verano. Sombrero marrón-ocre opaco, 8-20 cm. Pie con retículo prominente en toda su extensión. Comestible excelente, similar a B. edulis pero de verano. Bajo robles y hayas europeos."
Boletus rex-veris,comestible,"Rey de los boletos o porcini de montaña. Sombrero marrón oscuro, 8-20 cm. Pie robusto rosado-marrón con retículo. Comestible excelente, igual o superior a B. edulis. Alta montaña bajo abetos y pinos. Muy apreciado."
Calocera viscosa,no comestible,"Cuerno de coral amarillo-anaranjado viscoso, 3-8 cm, ramificado en el ápice. Crece sobre madera de coníferas enterrada o en descomposición. No comestible por textura gelatinosa y sabor amargo. Sin toxicidad conocida."
Calycina citrina,no comestible,"Copa discomiceto amarillo limón brillante, 1-5 mm de diámetro. Crece en colonias densas sobre madera húmeda y corteza. Demasiado pequeña para tener valor culinario. Sin toxicidad relevante conocida."
Cantharellus californicus,comestible,"Rebozuelo gigante californiano. Sombrero naranja-amarillo, 8-30 cm, el más grande del género. Pliegues ramificados, aroma afrutado intenso. Excelente comestible. Exclusivo de California bajo robles. Muy valorado."
